                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.813,                 0.7641,                0.90725,                0.87344,                 0.7061,                0.76495,                0.39788,                 1.7822,                0.79187,                0.97478,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.7275,                0.75821,                0.90893,                0.86065,                0.70289,                0.75941,                0.38745,                 1.7788,                0.79679,                 0.9817,               0.001307,               0.001307,               0.001307
                     37,                 1.7613,                 0.8088,                 0.9035,                0.87538,                0.70472,                0.76562,                0.39198,                 1.8026,                0.78054,                0.97455,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.774,                0.74906,                0.90864,                0.86996,                0.70659,                0.76527,                0.39364,                 1.8004,                0.78381,                0.97754,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.759,                0.74766,                0.93958,                0.87803,                0.72223,                0.77649,                0.40228,                 1.7614,                0.77279,                0.96966,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6741,                0.74178,                0.91231,                0.85584,                0.68807,                0.74964,                0.38405,                 1.7978,                0.80964,                0.98009,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7068,                0.72365,                0.90388,                0.88004,                0.70388,                0.76243,                0.38636,                  1.805,                0.80966,                0.97894,               0.001208,               0.001208,               0.001208
                     42,                 1.8426,                0.81854,                0.94705,                0.84986,                 0.6809,                0.75152,                0.37908,                 1.8056,                0.82024,                0.98204,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.7778,                0.74285,                0.90537,                0.87594,                0.70819,                0.76357,                0.39051,                 1.7873,                0.81586,                0.98571,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7583,                0.77842,                0.91997,                0.88718,                0.70697,                0.76738,                0.39198,                 1.7919,                0.80955,                0.98263,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7147,                0.73093,                0.91597,                0.86262,                0.70507,                0.75977,                0.38559,                 1.7877,                0.80801,                0.97829,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.7483,                0.74799,                0.90923,                0.86081,                0.70175,                0.75925,                0.38757,                 1.8208,                 0.8153,                0.97374,               0.001109,               0.001109,               0.001109
                     47,                 1.7678,                0.74984,                0.90783,                0.85694,                0.70168,                0.76026,                0.39302,                 1.7967,                  0.816,                0.97825,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.7199,                0.72336,                 0.9127,                0.88161,                 0.7044,                0.76643,                0.39528,                 1.8101,                0.79765,                 0.9776,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7194,                0.70413,                0.89874,                0.88119,                0.71457,                0.77148,                0.40296,                 1.7744,                0.77155,                0.97535,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.6903,                0.70929,                0.90758,                0.86631,                0.70606,                0.76277,                0.39995,                 1.7701,                0.78004,                0.97516,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.699,                0.70538,                0.90863,                0.88103,                0.71363,                0.77014,                0.40132,                  1.784,                0.76551,                0.97344,                0.00101,                0.00101,                0.00101
                     52,                  1.717,                0.72166,                0.92279,                0.88735,                0.72124,                0.77992,                0.41291,                 1.7489,                0.75934,                0.96552,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6483,                0.69698,                0.90745,                0.88565,                0.72306,                0.77901,                0.41141,                 1.7438,                0.75245,                0.97403,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6826,                0.70978,                0.90511,                0.87663,                0.71196,                0.77506,                0.40371,                 1.7763,                0.77476,                0.97612,              0.0009506,              0.0009506,              0.0009506
